name,part,operator,replicate,measured,nominal,
a011,01,A,1,2.78,3,
a012,01,A,2,1.87,3,
a013,01,A,3,1.87,3,
a021,02,A,1,2.36,3,
a022,02,A,2,2.36,3,
a023,02,A,3,2.21,3,
a031,03,A,1,2.22,3,
a032,03,A,2,2.45,3,
a033,03,A,3,2.33,3,
a041,04,A,1,4.56,3,
a042,04,A,2,4.21,3,
a043,04,A,3,4.13,3,
a051,05,A,1,3.56,3,
a052,05,A,2,3.47,3,
a053,05,A,3,3.69,3,
a061,06,A,1,2.11,3,
a062,06,A,2,2.23,3,
a063,06,A,3,2.12,3,
a071,07,A,1,2.24,3,
a072,07,A,2,2.24,3,
a073,07,A,3,2.27,3,
a081,08,A,1,5.47,3,
a082,08,A,2,5.89,3,
a083,08,A,3,5.31,3,
a091,09,A,1,2.44,3,
a092,09,A,2,1.80,3,
a093,09,A,3,1.72,3,
a101,10,A,1,4.10,3,
a102,10,A,2,3.88,3,
a103,10,A,3,3.56,3

