name,part,operator,replicate,measured,nominal,
c011,01,C,1,2.56,3,
c012,01,C,2,2.22,3,
c013,01,C,3,2.15,3,
c021,02,C,1,2.56,3,
c022,02,C,2,2.12,3,
c023,02,C,3,2.32,3,
c031,03,C,1,2.12,3,
c032,03,C,2,2.45,3,
c033,03,C,3,2.33,3,
c041,04,C,1,4.25,3,
c042,04,C,2,4.36,3,
c043,04,C,3,4.22,3,
c051,05,C,1,3.47,3,
c052,05,C,2,3.89,3,
c053,05,C,3,3.75,3,
c061,06,C,1,2.11,3,
c062,06,C,2,2.23,3,
c063,06,C,3,2.12,3,
c071,07,C,1,2.27,3,
c072,07,C,2,2.26,3,
c073,07,C,3,2.22,3,
c081,08,C,1,5.21,3,
c082,08,C,2,5.36,3,
c083,08,C,3,5.54,3,
c091,09,C,1,2.44,3,
c092,09,C,2,1.80,3,
c093,09,C,3,1.72,3,
c101,10,C,1,4.12,3,
c102,10,C,2,3.25,3,
c103,10,C,3,3.69,3
